ID,rA,rB,rC,rD,rE,rF,rG,rH,rI,rAa,rAb,rCa,rCb,rAc,rBc,rCc,rHl,rHu
24544,2,1,0,2,1,2,0,2,1,2,2,3,0,3,0,1,2,2
24547,0,1,0,2,1,2,2,2,2,0,0,3,0,1,0,1,2,2
24560,2,1,3,2,1,1,3,1,1,2,2,3,3,3,0,2,1,1
24571,2,2,2,2,3,1,2,2,2,2,2,1,2,3,3,3,2,2
24572,2,1,3,2,3,2,0,1,1,2,2,3,3,3,0,2,1,1
24573,2,1,0,2,3,1,0,2,2,2,2,3,0,3,0,1,2,2
24596,1,2,0,2,3,1,2,2,2,1,2,3,0,0,3,1,2,2
24631,2,3,3,2,0,2,3,1,1,2,2,3,3,3,2,2,1,1
24916,2,3,2,2,1,2,2,2,1,2,2,1,2,3,2,3,2,2
24917,2,3,2,2,1,1,2,0,1,2,2,1,2,3,2,3,2,0
24918,2,3,1,2,1,1,0,0,1,2,2,1,1,3,2,0,2,0
24919,2,3,2,2,1,2,2,2,2,2,2,1,2,3,2,3,2,2
24920,2,3,1,1,2,1,1,1,1,2,2,1,1,3,2,0,1,1
24921,2,3,1,2,1,2,2,2,1,2,2,1,1,3,2,0,2,2
24922,2,3,2,2,1,2,2,2,1,2,2,1,2,3,2,3,2,2
26440,0,1,0,2,1,1,2,2,2,0,0,3,0,1,0,1,2,2
26442,2,1,0,2,3,1,2,2,1,2,2,3,0,3,0,1,2,2
26445,2,1,3,1,0,1,3,1,1,2,2,3,3,3,0,2,1,1
26446,0,1,2,2,3,1,2,2,1,0,0,1,2,1,0,3,2,2
26452,2,3,0,2,3,2,0,2,2,2,2,3,0,3,2,1,2,2
26453,0,1,2,2,3,1,2,2,2,0,0,1,2,1,0,3,2,2
26454,0,1,2,2,1,1,2,2,1,0,0,1,2,1,0,3,2,2
26455,0,1,3,2,1,2,0,2,1,0,0,3,3,1,0,2,2,2
26463,2,3,1,2,1,1,0,3,1,2,2,1,1,3,2,0,1,3
26464,2,3,3,2,1,1,0,3,1,2,2,3,3,3,2,2,1,3
26477,2,3,0,2,3,1,2,2,0,2,2,3,0,3,2,1,2,2
26478,2,3,0,2,3,1,2,2,0,2,2,3,0,3,2,1,2,2
26496,1,0,0,2,2,2,0,0,2,1,2,3,0,0,1,1,2,0
26498,1,0,2,2,1,1,2,2,2,1,2,1,2,0,1,3,2,2
26499,2,3,2,2,1,1,2,2,2,2,2,1,2,3,2,3,2,2
26500,1,0,2,2,1,1,2,2,2,1,2,1,2,0,1,3,2,2
26501,2,3,2,2,1,1,2,2,1,2,2,1,2,3,2,3,2,2
26502,2,3,0,2,1,1,0,0,0,2,2,3,0,3,2,1,2,0
26503,2,3,3,2,1,1,0,3,1,2,2,3,3,3,2,2,1,3
26523,2,3,3,2,3,2,3,1,1,2,2,3,3,3,2,2,1,1
26568,3,2,2,0,1,3,0,2,2,3,0,1,2,2,3,3,2,2
26569,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1
26570,2,0,0,2,3,1,0,0,0,2,2,3,0,3,1,1,2,0
26583,3,2,2,0,1,3,2,2,2,3,0,1,2,2,3,3,2,2
26586,0,1,0,0,1,2,0,0,2,0,0,3,0,1,0,1,0,2
26595,0,1,0,0,1,1,0,0,1,0,0,3,0,1,0,1,0,2
26596,0,1,0,0,1,1,0,0,2,0,0,3,0,1,0,1,0,2
27060,0,1,2,0,1,3,2,0,2,0,0,1,2,1,0,3,0,2
27156,2,2,0,2,1,2,0,2,2,2,2,3,0,3,3,1,2,2
27705,0,1,2,0,1,3,0,0,1,0,0,1,2,1,0,3,0,2
27706,0,1,2,0,1,1,2,2,1,0,0,1,2,1,0,3,2,2
27712,3,2,2,0,2,3,2,0,2,3,0,1,2,2,3,3,0,2
27752,2,3,0,2,3,1,2,2,3,2,2,3,0,3,2,1,2,2
27753,2,3,0,2,3,1,2,2,0,2,2,3,0,3,2,1,2,2
27754,2,3,0,2,3,2,2,2,0,2,2,3,0,3,2,1,2,2
27755,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
27756,2,3,3,2,3,1,2,1,3,2,2,3,3,3,2,2,1,1
27761,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
27763,2,3,0,2,3,1,2,2,3,2,2,3,0,3,2,1,2,2
27765,2,3,0,2,3,2,2,2,0,2,2,3,0,3,2,1,2,2
28110,2,3,0,2,3,1,0,2,1,2,2,3,0,3,2,1,2,2
28211,2,1,3,2,3,2,0,1,1,2,2,3,3,3,0,2,1,1
28216,3,2,2,0,2,3,2,0,2,3,0,1,2,2,3,3,0,2
28227,2,3,0,2,3,1,0,2,1,2,2,3,0,3,2,1,2,2
28319,2,3,1,2,2,2,3,3,3,2,2,1,1,3,2,0,1,3
28734,2,3,0,2,3,1,0,2,1,2,2,3,0,3,2,1,2,2
28736,2,3,0,2,3,1,0,2,3,2,2,3,0,3,2,1,2,2
28737,1,0,0,2,0,1,0,2,3,1,2,3,0,0,1,1,2,2
28899,3,2,2,1,0,1,2,2,1,3,0,1,2,2,3,3,2,2
29040,3,2,2,0,1,3,0,0,2,3,0,1,2,2,3,3,0,2
29056,2,3,3,0,1,2,3,3,3,2,2,3,3,3,2,2,1,3
29058,2,3,1,2,1,1,0,3,3,2,2,1,1,3,2,0,1,3
29060,2,3,1,3,2,2,3,3,3,2,2,1,1,3,2,0,1,3
29064,2,3,0,2,1,1,0,0,2,2,2,3,0,3,2,1,2,0
29065,0,2,2,2,1,1,2,2,2,0,0,1,2,1,3,3,2,2
29066,0,2,2,0,1,3,2,2,2,0,0,1,2,1,3,3,2,2
29067,0,1,2,0,1,3,2,2,2,0,0,1,2,1,0,3,2,2
29068,2,1,2,2,1,1,2,2,2,2,2,1,2,3,0,3,2,2
29070,0,1,1,0,2,2,3,3,1,0,0,1,1,1,0,0,3,1
29071,2,3,2,2,1,1,2,0,2,2,2,1,2,3,2,3,2,0
29074,1,2,2,2,1,1,2,2,1,1,2,1,2,0,3,3,2,2
29078,0,1,3,2,0,2,3,1,1,0,0,3,3,1,0,2,1,1
29079,0,1,2,2,3,1,2,2,2,0,0,1,2,1,0,3,2,2
29082,3,2,2,3,2,1,0,2,2,3,0,1,2,2,3,3,2,2
29083,3,2,2,0,1,3,2,2,2,3,0,1,2,2,3,3,2,2
29086,0,2,2,0,1,3,2,0,2,0,0,1,2,1,3,3,0,2
29090,3,2,1,2,2,1,2,2,2,3,0,1,1,2,3,0,2,2
29091,0,2,2,0,1,3,0,0,1,0,0,1,2,1,3,3,0,2
29100,2,3,1,2,1,1,1,1,1,2,2,1,1,3,2,0,1,1
29103,2,1,3,2,0,2,3,1,1,2,2,3,3,3,0,2,1,1
29177,0,2,2,0,1,3,2,0,1,0,0,1,2,1,3,3,0,2
