ID,NB_SPC,HYP_v0,LOP_v0,HOD_v0,AL_v0,OL_v0,SF_v0,OT_v0,CM_v0,OO_v0,ETH_v0,LOPT_v0,HYP_v1,AL_v1,AL2_v1,OL_v1,SF_v1,OT_v1,OO_v1,BU_v1
enabled_col,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,T,T,T,T,T
127045,5,1.200,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127046,5,1.200,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127047,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127048,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127049,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127050,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127051,5,1.200,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127052,5,1.200,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127053,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
127054,3,1.333,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.667,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127055,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127056,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127057,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127058,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127059,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127060,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127061,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127062,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127063,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127064,4,1.750,2.000,1.000,0.750,1.000,0.000,0.000,0.000,0.250,0.000,0.000,2.000,0.750,1.000,0.250,0.000,0.000,0.250,0.000
127065,3,1.667,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127066,3,1.667,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127067,4,1.500,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
127068,3,1.667,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127069,4,1.750,2.000,1.000,0.750,1.000,0.000,0.000,0.000,0.250,0.000,0.000,2.000,0.750,1.000,0.250,0.000,0.000,0.250,0.000
127070,5,1.600,2.000,1.000,0.800,1.000,0.000,0.000,0.000,0.200,0.000,0.000,1.800,0.800,1.000,0.200,0.000,0.000,0.200,0.000
127071,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127072,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127073,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127074,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127075,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127076,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127077,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127078,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127079,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127080,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127081,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127082,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127083,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127084,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127085,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127086,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127087,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127088,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127089,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127090,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127091,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127092,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127093,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127094,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127095,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127096,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127097,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127098,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127099,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127100,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127101,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127102,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127103,5,1.200,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127522,3,1.667,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,1.667,0.333,0.667,0.333,0.000,0.000,0.333,0.333
127523,3,1.667,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,1.667,0.333,0.667,0.333,0.000,0.000,0.333,0.333
127524,3,1.667,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,1.667,0.333,0.667,0.333,0.000,0.000,0.333,0.333
127525,3,1.667,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,1.667,0.333,0.667,0.333,0.000,0.000,0.333,0.333
127526,3,1.667,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,1.667,0.333,0.667,0.333,0.000,0.000,0.333,0.333
127527,3,1.667,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,1.667,0.333,0.667,0.333,0.000,0.000,0.333,0.333
127531,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
127532,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
127533,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
127534,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
127535,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
127536,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
127537,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
127538,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
127539,3,1.667,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,1.667,0.333,0.667,0.333,0.000,0.000,0.333,0.333
127543,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
127544,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
127545,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
127546,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
127547,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
127548,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
127549,5,1.600,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.800,0.600,0.800,0.200,0.000,0.000,0.200,0.200
127550,5,1.600,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.800,0.600,0.800,0.200,0.000,0.000,0.200,0.200
127551,7,1.714,1.714,1.000,0.571,0.857,0.000,0.000,0.000,0.286,0.143,0.000,1.857,0.571,0.857,0.286,0.000,0.000,0.286,0.143
127552,7,1.714,1.714,1.000,0.571,0.857,0.000,0.000,0.000,0.286,0.143,0.000,1.857,0.571,0.857,0.286,0.000,0.000,0.286,0.143
127553,6,1.833,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127554,6,1.833,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127555,5,2.000,2.000,1.000,0.600,1.000,0.000,0.000,0.000,0.400,0.000,0.000,2.200,0.600,1.000,0.400,0.000,0.000,0.400,0.000
127556,5,2.000,2.000,1.000,0.600,1.000,0.000,0.000,0.000,0.400,0.000,0.000,2.200,0.600,1.000,0.400,0.000,0.000,0.400,0.000
127557,5,2.000,2.000,1.000,0.600,1.000,0.000,0.000,0.000,0.400,0.000,0.000,2.200,0.600,1.000,0.400,0.000,0.000,0.400,0.000
127558,3,1.667,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127559,3,1.667,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127560,4,1.750,2.000,1.000,0.750,1.000,0.000,0.000,0.000,0.250,0.000,0.000,2.000,0.750,1.000,0.250,0.000,0.000,0.250,0.000
127561,5,1.600,2.000,1.000,0.800,1.000,0.000,0.000,0.000,0.200,0.000,0.000,1.800,0.800,1.000,0.200,0.000,0.000,0.200,0.000
127562,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127563,5,1.200,2.000,1.000,0.800,1.000,0.000,0.000,0.000,0.200,0.000,0.000,1.400,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127564,5,1.200,2.000,1.000,0.800,1.000,0.000,0.000,0.000,0.200,0.000,0.000,1.400,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127565,5,1.200,2.000,1.000,0.800,1.000,0.000,0.000,0.000,0.200,0.000,0.000,1.400,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127566,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127567,5,1.200,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127568,5,1.200,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127569,5,1.200,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127570,5,1.200,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127571,5,1.200,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127572,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127573,6,1.167,1.667,1.000,0.667,0.833,0.000,0.000,0.000,0.167,0.167,0.000,1.333,0.833,0.833,0.000,0.000,0.000,0.000,0.167
127574,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
127575,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
127576,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
127577,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
127578,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127579,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127580,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
