ID,LONG,LAT,rA,rB,rC,rD,rE,rF,rG,rH,rI,rAa,rAb,rCa,rCb,rAc,rBc,rCc,rHl,rHu
127599,120.633100,49.126670,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
127600,121.319500,49.126670,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
127601,122.005900,49.126670,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
127602,122.692200,49.126670,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
127603,123.378600,49.126670,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127604,124.065000,49.126670,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127605,124.751400,49.126670,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127606,125.437700,49.126670,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127607,126.124100,49.126670,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127608,126.810500,49.126670,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127609,127.496900,49.126670,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127610,128.183300,49.126670,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127611,128.869600,49.126670,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127612,129.556000,49.126670,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
127613,130.242400,49.126670,2,3,2,2,3,3,2,2,3,2,2,1,2,3,2,3,2,2
127614,130.928800,49.126670,2,3,2,2,3,3,2,2,3,2,2,1,2,3,2,3,2,2
127615,131.615100,49.126670,2,3,2,2,3,3,2,2,3,2,2,1,2,3,2,3,2,2
127616,132.301500,49.126670,2,3,2,2,3,3,2,0,3,2,2,1,2,3,2,3,2,0
127617,132.987900,49.126670,2,3,2,2,3,3,2,2,3,2,2,1,2,3,2,3,2,2
127618,133.674300,49.126670,2,3,2,2,3,1,2,2,3,2,2,1,2,3,2,3,2,2
127619,134.360600,49.126670,2,3,2,2,3,1,2,2,3,2,2,1,2,3,2,3,2,2
127620,135.047000,49.126670,2,3,2,2,3,1,2,2,3,2,2,1,2,3,2,3,2,2
127621,135.733400,49.126670,2,3,2,2,3,1,2,2,3,2,2,1,2,3,2,3,2,2
127622,136.419800,49.126670,2,3,2,2,3,1,2,2,3,2,2,1,2,3,2,3,2,2
127623,137.106200,49.126670,2,3,2,2,3,1,2,0,3,2,2,1,2,3,2,3,2,0
127624,137.792500,49.126670,2,3,2,2,3,1,2,0,3,2,2,1,2,3,2,3,2,0
127625,138.478900,49.126670,2,3,2,2,3,1,2,0,3,2,2,1,2,3,2,3,2,0
127626,139.165300,49.126670,2,3,2,2,3,1,2,0,3,2,2,1,2,3,2,3,2,0
127627,139.851700,49.126670,2,3,2,2,3,1,2,0,3,2,2,1,2,3,2,3,2,0
128050,67.605900,48.677520,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
128051,68.286200,48.677520,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
128052,68.966400,48.677520,2,0,0,2,3,2,0,2,0,2,2,3,0,3,1,1,2,2
128053,69.646600,48.677520,2,0,0,2,3,2,0,2,0,2,2,3,0,3,1,1,2,2
128054,70.326900,48.677520,2,0,0,2,3,2,0,2,0,2,2,3,0,3,1,1,2,2
128055,71.007100,48.677520,2,0,0,2,3,2,0,2,0,2,2,3,0,3,1,1,2,2
128056,71.687300,48.677520,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
128059,73.728000,48.677520,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
128060,74.408300,48.677520,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
128061,75.088500,48.677520,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
128062,75.768800,48.677520,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
128063,76.449000,48.677520,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
128064,77.129200,48.677520,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
128065,77.809500,48.677520,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
128066,78.489700,48.677520,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
128067,79.169900,48.677520,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
128068,79.850200,48.677520,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
128069,80.530400,48.677520,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
128072,82.571100,48.677520,2,0,0,2,3,2,0,2,0,2,2,3,0,3,1,1,2,2
128073,83.251400,48.677520,2,0,0,2,3,1,2,2,3,2,2,3,0,3,1,1,2,2
128074,83.931600,48.677520,2,0,0,2,3,1,2,2,3,2,2,3,0,3,1,1,2,2
128075,84.611800,48.677520,2,0,0,2,3,1,2,0,3,2,2,3,0,3,1,1,2,0
128076,85.292100,48.677520,2,3,3,2,3,1,2,3,3,2,2,3,3,3,2,2,1,3
128077,85.972300,48.677520,2,3,3,2,3,1,2,3,3,2,2,3,3,3,2,2,1,3
128078,86.652500,48.677520,2,3,3,2,3,1,2,3,3,2,2,3,3,3,2,2,1,3
128079,87.332800,48.677520,2,3,3,2,3,2,1,3,0,2,2,3,3,3,2,2,1,3
128080,88.013000,48.677520,2,3,3,2,3,2,2,3,0,2,2,3,3,3,2,2,1,3
128081,88.693200,48.677520,2,3,3,2,3,2,2,3,0,2,2,3,3,3,2,2,1,3
128082,89.373500,48.677520,2,3,3,2,3,2,2,3,0,2,2,3,3,3,2,2,1,3
128083,90.053700,48.677520,2,3,3,0,3,2,1,3,0,2,2,3,3,3,2,2,1,3
128084,90.733900,48.677520,2,3,3,0,3,0,1,3,0,2,2,3,3,3,2,2,1,3
128085,91.414200,48.677520,2,3,3,2,3,2,3,3,0,2,2,3,3,3,2,2,1,3
128088,93.454900,48.677520,2,3,3,2,3,0,3,1,0,2,2,3,3,3,2,2,1,1
128089,94.135100,48.677520,2,3,3,2,3,0,3,1,0,2,2,3,3,3,2,2,1,1
128090,94.815400,48.677520,2,3,3,2,3,0,3,3,0,2,2,3,3,3,2,2,1,3
128091,95.495600,48.677520,2,3,3,2,3,0,3,3,0,2,2,3,3,3,2,2,1,3
128092,96.175800,48.677520,2,3,3,0,3,3,0,3,3,2,2,3,3,3,2,2,1,3
128093,96.856100,48.677520,2,3,0,0,3,3,0,0,3,2,2,3,0,3,2,1,2,0
128094,97.536300,48.677520,2,3,0,0,3,3,0,0,3,2,2,3,0,3,2,1,2,0
128095,98.216500,48.677520,2,3,0,0,3,3,0,0,3,2,2,3,0,3,2,1,2,0
128096,98.896800,48.677520,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
128097,99.577000,48.677520,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
128098,100.257300,48.677520,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
128099,100.937500,48.677520,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
128100,101.617700,48.677520,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
128101,102.298000,48.677520,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
128102,102.978200,48.677520,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
128103,103.658400,48.677520,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
128104,104.338700,48.677520,2,3,0,2,3,1,0,2,3,2,2,3,0,3,2,1,2,2
128105,105.018900,48.677520,2,3,0,2,3,1,0,2,3,2,2,3,0,3,2,1,2,2
128106,105.699100,48.677520,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
128107,106.379400,48.677520,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
128108,107.059600,48.677520,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
128109,107.739800,48.677520,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
128110,108.420100,48.677520,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
128111,109.100300,48.677520,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
128112,109.780600,48.677520,2,3,0,2,3,3,0,0,3,2,2,3,0,3,2,1,2,0
128113,110.460800,48.677520,2,3,0,2,3,1,0,0,3,2,2,3,0,3,2,1,2,0
128116,112.501500,48.677520,2,3,3,2,3,2,3,3,0,2,2,3,3,3,2,2,1,3
128117,113.181700,48.677520,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
128118,113.862000,48.677520,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
128119,114.542200,48.677520,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
128120,115.222400,48.677520,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
128121,115.902700,48.677520,2,3,3,2,3,2,3,1,0,2,2,3,3,3,2,2,1,1
128122,116.582900,48.677520,2,3,3,2,3,2,0,2,0,2,2,3,3,3,2,2,2,2
128123,117.263200,48.677520,2,3,3,2,3,1,0,1,3,2,2,3,3,3,2,2,1,1
128124,117.943400,48.677520,2,3,3,2,3,3,0,1,3,2,2,3,3,3,2,2,1,1
128125,118.623600,48.677520,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
128126,119.303900,48.677520,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
128127,119.984100,48.677520,2,3,0,2,3,3,0,2,3,2,2,3,0,3,2,1,2,2
128128,120.664300,48.677520,2,3,2,2,3,3,0,0,3,2,2,1,2,3,2,3,2,0
128129,121.344600,48.677520,2,3,2,2,3,1,0,0,3,2,2,1,2,3,2,3,2,0
128130,122.024800,48.677520,2,3,2,2,3,1,2,0,3,2,2,1,2,3,2,3,2,0
128131,122.705000,48.677520,2,3,2,2,3,1,0,2,3,2,2,1,2,3,2,3,2,2
128132,123.385300,48.677520,2,3,2,2,3,1,0,2,3,2,2,1,2,3,2,3,2,2
128133,124.065500,48.677520,2,3,2,2,3,1,0,2,3,2,2,1,2,3,2,3,2,2
128134,124.745800,48.677520,2,3,2,2,3,1,0,2,3,2,2,1,2,3,2,3,2,2
128135,125.426000,48.677520,2,3,2,2,3,1,0,2,3,2,2,1,2,3,2,3,2,2
128136,126.106200,48.677520,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
128137,126.786500,48.677520,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
128138,127.466700,48.677520,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
128139,128.146900,48.677520,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
128140,128.827200,48.677520,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
128141,129.507400,48.677520,2,3,2,2,3,3,0,2,3,2,2,1,2,3,2,3,2,2
128142,130.187600,48.677520,2,3,2,2,3,3,2,2,3,2,2,1,2,3,2,3,2,2
128143,130.867900,48.677520,2,3,2,2,3,3,2,2,3,2,2,1,2,3,2,3,2,2
128144,131.548100,48.677520,2,3,2,2,3,3,2,2,3,2,2,1,2,3,2,3,2,2
128145,132.228300,48.677520,2,3,2,2,3,1,2,2,3,2,2,1,2,3,2,3,2,2
