MSW_TAXON	TAXON	ORDER	FAMILY	HYP	LOP	FCT_HOD	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM	OO	ETH	LOPT
Symphalangus syndactylus	Symphalangus syndactylus	Primates	Hylobatidae	1	0	1	0	0	0	0	0	0	0	0
Avahi laniger	Avahi laniger	Primates	Indridae	1	2	1	0	0	0	0	0	0	0	0
Avahi occidentalis	Avahi occidentalis	Primates	Indridae	1	2	1	0	0	0	0	0	0	0	0
Avahi unicolor	Avahi unicolor	Primates	Indridae	1	2	1	0	0	0	0	0	0	0	0
Indri indri	Indri indri	Primates	Indridae	1	1	1	0	0	0	0	0	0	0	0
Propithecus coquereli	Propithecus coquereli	Primates	Indridae	1	1	1	1	0	0	0	0	0	0	0
Propithecus deckenii	Propithecus deckenii	Primates	Indridae	1	1	1	1	0	0	0	0	0	0	0
Propithecus diadema	Propithecus diadema	Primates	Indridae	1	1	1	1	0	0	0	0	0	0	0
Propithecus edwardsi	Propithecus edwardsi	Primates	Indridae	1	1	1	1	0	0	0	0	0	0	0
Propithecus perrieri	Propithecus perrieri	Primates	Indridae	1	1	1	1	0	0	0	0	0	0	0
Propithecus tattersalli	Propithecus tattersalli	Primates	Indridae	1	1	1	1	0	0	0	0	0	0	0
Propithecus verreauxi	Propithecus verreauxi	Primates	Indridae	1	1	1	1	0	0	0	0	0	0	0
Eulemur albifrons	Eulemur albifrons	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Eulemur albocollaris	Eulemur albocollaris	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Eulemur cinereiceps	Eulemur cinereiceps	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Eulemur collaris	Eulemur collaris	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Eulemur coronatus	Eulemur coronatus	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Eulemur fulvus	Eulemur fulvus	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Eulemur macaco	Eulemur macaco	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Eulemur mongoz	Eulemur mongoz	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Eulemur rubriventer	Eulemur rubriventer	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Eulemur rufus	Eulemur rufus	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Eulemur sanfordi	Eulemur sanfordi	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Hapalemur alaotrensis	Hapalemur alaotrensis	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Hapalemur aureus	Hapalemur aureus	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Hapalemur griseus	Hapalemur griseus	Primates	Lemuridae	1	0	1	1	0	0	0	0	0	0	2
Hapalemur occidentalis	Hapalemur occidentalis	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Lemur catta	Lemur catta	Primates	Lemuridae	1	0	1	0	0	0	0	0	0	0	2
Prolemur simus	Prolemur simus	Primates	Lemuridae	1	0	1	0	0	0	0	0	0	0	2
Varecia rubra	Varecia rubra	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Varecia variegata	Varecia variegata	Primates	Lemuridae	1	0	1	1	1	0	0	0	0	0	2
Lepilemur ankaranensis	Lepilemur ankaranensis	Primates	Megaladapidae	1	1	1	1	1	0	0	0	0	0	0
Arctocebus calabarensis	Arctocebus calabarensis	Primates	Lorisidae	1	0	1	0	0	0	0	0	0	0	0
Loris lydekkerianus	Loris lydekkerianus	Primates	Lorisidae	1	0	1	0	0	0	0	0	0	0	0
Loris tardigradus	Loris tardigradus	Primates	Lorisidae	1	0	1	0	0	0	0	0	0	0	0
Nycticebus bengalensis	Nycticebus bengalensis	Primates	Lorisidae	1	0	1	0	0	0	0	0	0	0	0
Nycticebus coucang	Nycticebus coucang	Primates	Lorisidae	1	0	1	0	0	0	0	0	0	0	0
Nycticebus pygmaeus	Nycticebus pygmaeus	Primates	Lorisidae	1	0	1	0	0	0	0	0	0	0	0
Arctocebus aureus	Arctocebus aureus	Primates	Lorisidae	1	0	1	0	0	0	0	0	0	0	0
Perodicticus potto	Perodicticus potto	Primates	Lorisidae	1	0	1	0	0	0	0	0	0	0	0
Lepilemur dorsalis	Lepilemur dorsalis	Primates	Megaladapidae	1	1	1	1	1	0	0	0	0	0	0
Lepilemur edwardsi	Lepilemur edwardsi	Primates	Megaladapidae	1	1	1	1	1	0	0	0	0	0	0
Lepilemur leucopus	Lepilemur leucopus	Primates	Megaladapidae	1	1	1	1	1	0	0	0	0	0	0
Lepilemur microdon	Lepilemur microdon	Primates	Megaladapidae	1	1	1	1	1	0	0	0	0	0	0
Lepilemur mustelinus	Lepilemur mustelinus	Primates	Megaladapidae	1	1	1	1	1	0	0	0	0	0	0
Lepilemur ruficaudatus	Lepilemur ruficaudatus	Primates	Megaladapidae	1	1	1	1	1	0	0	0	0	0	0
Lepilemur septentrionalis	Lepilemur septentrionalis	Primates	Megaladapidae	1	1	1	1	1	0	0	0	0	0	0
Callicebus bernhardi	Callicebus bernhardi	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus caligatus	Callicebus caligatus	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus discolor	Callicebus discolor	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus dubius	Callicebus dubius	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus lucifer	Callicebus lucifer	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus lugens	Callicebus lugens	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus pallescens	Callicebus pallescens	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus purinus	Callicebus purinus	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus regulus	Callicebus regulus	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Callicebus stephennashi	Callicebus stephennashi	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Chiropotes chiropotes	Chiropotes chiropotes	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Chiropotes israelita	Chiropotes israelita	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Chiropotes utahickae	Chiropotes utahickae	Primates	Pitheciidae	1	0	1	0	0	0	0	0	0	0	0
Tarsius bancanus	Tarsius bancanus	Primates	Tarsiidae	1	0	1	0	0	0	0	0	0	0	0
Tarsius dentatus	Tarsius dentatus	Primates	Tarsiidae	1	0	1	0	0	0	0	0	0	0	0
Tarsius pelengensis	Tarsius pelengensis	Primates	Tarsiidae	1	0	1	0	0	0	0	0	0	0	0
Tarsius pumilus	Tarsius pumilus	Primates	Tarsiidae	1	0	1	0	0	0	0	0	0	0	0
Tarsius sangirensis	Tarsius sangirensis	Primates	Tarsiidae	1	0	1	0	0	0	0	0	0	0	0
Tarsius syrichta	Tarsius syrichta	Primates	Tarsiidae	1	0	1	0	0	0	0	0	0	0	0
Tarsius tarsier	Tarsius tarsier	Primates	Tarsiidae	1	0	1	0	0	0	0	0	0	0	0
Elephas maximus	Elephas maximus	Proboscidea	Elephantidae	3	0	3	0	1	0	1	1	0	0	3
Loxodonta africana	Loxodonta africana	Proboscidea	Elephantidae	3	0	3	0	1	0	1	1	0	0	3
Loxodonta cyclotis	Loxodonta cyclotis	Proboscidea	Elephantidae	3	0	3	0	1	0	1	1	0	0	3
