ORDER	FAMILY	GENUS	SPECIES	HYP	BU	AL	OL	SF	OT	OO	CM	HOD	LOP	LOPT	ETH	Source	
Artiodactyla	Giraffidae	Bugtimeryx	pilgrimi	1	0	1	0	0	0	0	0	1	2	0	0	photo	
Artiodactyla	Giraffidae	Giraffa	priscilla	1	0	1	0	0	0	0	0	1	2	0	0	https://www.researchgate.net/figure/Fig-2-Giraffa-priscilla-1-GCUPC-1164-13-rP-2-2-GCUPC-1147-09-rP-4-3-GCUPC_fig2_261364755	
Artiodactyla	Giraffidae	Giraffa	punjabiensis	1	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	Giraffidae	Giraffokeryx	indet.	1	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	Giraffidae	Giraffokeryx	punjabiensis	1	0	1	0	0	0	0	0	1	2	0	0	file:///C:/Users/lipingli/Downloads/1623-1631_22_PJZ-618-119-10-12.pdf	
Artiodactyla	Giraffidae	Honanotherium	indet.	1	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Giraffidae	Honanotherium	schlosseri	1	0	0	1	0	0	1	0	1	2	0	0	photo	
Artiodactyla	Giraffidae	Hydaspitherium	megacephalum	1	0	1	0	0	0	0	0	1	2	0	0	photo	
Artiodactyla	Giraffidae	indet.	indet.	1	0	1	0	0	0	0	0	1	2	0	0	?	
Artiodactyla	Giraffidae	Palaeotragus	coelophrys	1	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	Giraffidae	Palaeotragus	decipiens	1	0	1	0	0	0	0	0	1	2	0	0	by genus	
Artiodactyla	Giraffidae	Palaeotragus	indet.	1	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	Giraffidae	Palaeotragus	microdon	1	0	1	0	0	0	0	0	1	2	0	0	https://hal.archives-ouvertes.fr/hal-03345687/document	
Artiodactyla	Giraffidae	Palaeotragus	progressus	1	0	1	0	0	0	0	0	1	2	0	0	\N	
Artiodactyla	Giraffidae	Palaeotragus	tungurensis	1	0	1	0	0	0	0	0	1	2	0	0	\N	
Artiodactyla	Giraffidae	Progiraffa	exigua	1	0	1	0	0	0	0	0	1	2	0	0	https://www.researchgate.net/figure/Progiraffa-exigua-A-C-Left-maxillary-ramus-with-DP2-4-M1-GCUPC-1149-12-in-occlusal_fig4_294105556	
Artiodactyla	Giraffidae	Progiraffa	indet.	1	0	1	0	0	0	0	0	1	2	0	0	\N	
Artiodactyla	Giraffidae	Samotherium	decipiens	2	0	1	0	0	0	0	0	1	2	0	0	photo	
Artiodactyla	Giraffidae	Samotherium	indet.	2	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	Giraffidae	Samotherium	neumayri	2	0	1	0	0	0	0	0	1	2	0	0	by genus	
Artiodactyla	Giraffidae	Samotherium	sinense	2	0	1	0	0	0	0	0	1	2	0	0	Uppsala photo	
Artiodactyla	Giraffidae	Schansitherium	indet.	2	0	1	0	0	0	0	0	1	2	0	0	Shansitherium ->  Schansitherium (scored by genus)	
Artiodactyla	Giraffidae	Schansitherium	tafelli	1	0	1	0	0	0	0	0	1	2	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6376930/pdf/pone.0211797.pdf	
Artiodactyla	Giraffidae	Sivatherium	giganteum	1	0	1	0	0	0	0	0	1	2	0	0	genus photo	
Artiodactyla	Giraffidae	Sivatherium	indet.	1	0	1	0	0	0	0	0	1	2	0	0	?	
Artiodactyla	Giraffidae	Vishnutherium	iravaticum	1	0	1	0	0	0	0	0	1	2	0	0	refer to Sivatherium	
Artiodactyla	Hippopotamidae	Hexaprotodon	indet.	2	1	0	0	0	0	0	0	1	0	0	1	by genus NOW	
Artiodactyla	Hippopotamidae	Hexaprotodon	iravaticus	2	1	0	0	0	0	0	0	1	0	0	1	photo	
Artiodactyla	Hippopotamidae	Hexaprotodon	sivajavanicus	1	1	0	0	0	0	0	0	1	0	0	1	?	
Artiodactyla	Hippopotamidae	Hexaprotodon	sivalensis	1	1	0	0	0	0	0	0	1	0	0	1	references and photo	
