LIDNUM,NAME,LAT,LONG,MAX_AGE,MIN_AGE,NBSP,RHO_LBL,PHI_LBL
24534,Tongxin-maerzuizigou,37,106,15.2,12.5,6,2,80
24535,Tongxin-shataigou,37,106,15.2,12.5,4,2,75
24540,Wudu-longjiagou,33.6666666666667,105,7.2,5.3,27,0,65
24541,Wu-Hsiang-Loc.71,36.8,112.8,7.1,5.3,4,2,70
24542,Wu-Hsiang-loc.78,36.8,112.9,7.1,5.3,8,2,75
24543,Wu-Hsiang-Lok.70,36.8,112.9,7.1,5.3,7,2,95
24544,Wu-Hsiang-Lok.73,36.8,112.9,7.1,5.3,9,2,85
24547,Xinan,34.6622222222222,112.18,12.5,11.2,5,2,95
24560,Yushe-Gaozhuang,37,113,5.3,3.55,13,2,5
24571,Zhangqiu-Balouhe,36.6666666666667,117.466666666667,7.2,5.3,8,0,95
24572,Fugu-Laogaochuan-Lamagou,39.229167,110.5213888,8.972,7.2,20,2,55
24573,Fugu-Laogaochuan-Miaoliang,39.229167,110.52138888,7.2,5.3,11,2,60
24596,Lanzhou-Quantougou,36.1166666666667,103.6667,12.5,11.2,11,0,45
24631,Gaotege,43.4986,115.443888888889,5,3.55,48,0,45
24916,Guanghe-zhuangheji-LX200019,35.5,103.5,7.2,5.3,6,2.2,0
24917,Hezheng-hetuo-LX200023,35.4667,103.1667,7.2,5.3,8,2,55
24918,Hezheng-heilingding-LX200035,35.3333,103.1667,7.2,5.3,15,2,60
24919,Guanghe-shilidun-LX200014,35.5,103.5,5.3,5,13,2,95
24920,Guonigou,35.8333333333333,103.75,11.2,9.5,10,2,5
24921,Hezheng-Dashengou,35.85,103.7333,9.9,8.9,38,2.2,20
24922,Yangjiashan,35.8667,103.7667,8.9,7.6,22,2,10
26440,Lushi-Redclay,34,111,7.2,5.3,8,0,95
26442,Jingning,35.5,105.666666666667,7.2,5.3,5,0,30
26445,Huachi,36.5,108,7.2,5.3,3,0,24
26446,Xili,34.0833333333333,105.083333333333,7.2,5.3,3,0,60
26452,Wenquan-dakusitai,45,81,7.2,5.3,7,0,45
26453,Puzhen-zhutoushan,32.1666666666667,118.666666666667,20,17,5,0,45
26454,Yuanmou-dabanguo,25.6666666666667,101.166666666667,3.4,2.6,8,0,45
26455,Huoxian-anlecun,36.4833333333333,111.666666666667,7.2,5.3,10,0,45
26463,Guide-heerjia,36,101.5,5.235,4.3965,8,0,45
26464,Akesai-hongyazi,39.3333333333333,94.3333333333333,7.2,5.3,6,0,45
26477,Junggar-duolebulejin,46.42,87.48,12.5,11.2,9,0,45
26478,Junggar-chibaerwoyi,47,88,15.2,12.5,6,0,45
26496,Danghe-xishuigou,39.5,95,19.722,18.056,6,0,45
26498,Guanghe-dalanggou,35.466666666666704,103.466666666667,17,15.2,3,2,70
26499,Guanghe-wangshijie,35.5166666666667,103.5,17,15.2,6,2,5
26500,Hezheng-laogou,36.466666666666704,103.416666666667,14.2,12.85,15,0,45
26501,Guanghe-sigou,35.4833333333333,103.5,9.9,8.9,11,2,90
26502,Qaidam-Olongbuluk,37.166666666666664,96.33333333333333,14.07,12.474,5,0,45
26503,Qaidam-shenggou,37.0833333333333,97.25,8.9,7.6,28,2,20
26523,Siziwangqi-wulanhua,41.9166666666667,111.666666666667,7.2,5.3,13,2,55
26568,Dang Valley,28,82.3333333333333,12.85,11.2,12,2,80
26569,Butwal,28,82.5,11.63,7.246,5,2,90
26570,Ramangar,33.6916666666667,76.9333333333333,13.82,11.63,34,0,45
26583,Chaungtha,22.9166666666667,94.0833333333333,13.82,11.63,5,0,45
26586,Zinda Pir (Vihowa),30.1,70.1,19.722,18.748,21,0,45
26595,Dera Bugti 3bis,29,69,23.03,20.44,6,2,45
26596,Dera Bugti W,29,69,12.85,11.2,4,2,55
27060,Gwebin,21,94.6666666666667,5.333,2.58,11,0,45
27156,Chang Chia Chuang,37.04222222222219,112.990277777778,7.2,5.3,7,1,10
27705,Pasuda,23.241111111111113,70.18361111111112,11.232,8.282499999999999,20,2,20
27706,Dagshai,30.879722222222203,77.045,20.44,15.97,8,0,45
27712,Chaingzauk,21.505,94.5891666666667,7.246,5.333,16,0,45
27752,Tunggur- DA,43.54277777777779,112.631111111111,12.85,11.2,5,2,50
27753,Tunggur-WC,43.5491666666667,112.661944444444,12.85,11.2,16,2,45
27754,Tunggur- ZH,43.6019444444444,112.683611111111,12.85,11.2,7,2,40
27755,Tunggur-AC,43.6147222222222,112.716944444444,12.85,11.2,8,2,35
27756,Tunggur- MC,43.6388888888889,112.750277777778,12.85,11.2,7,2,30
27761,Tunggur- MOII,43.744722222222194,112.900555555556,12.85,11.2,34,2,25
27763,Tunggur- HU,43.789166666666695,113.139722222222,12.85,11.2,16,2,15
27765,Tunggur- ALU,43.789166666666695,113.085,12.85,11.2,12,2,20
28110,Damiao 01,42.0087222222222,111.580555555556,12.174,12.049,15,2,42.5
28211,Ho-qu-114,39.4166666666667,111.416666666667,7.1,5.3,11,0,30
28216,Magway,20.1097222222222,95.11166666666671,8.108,7.695,15,0,45
28227,Damiao 02,42.0086111111111,111.580555555556,11.657,11.592,18,2,35
28319,Tibet Zanda (general locality),31.56527777777778,79.84805555555555,4.187,3.596,20,0,45
28734,Damiao 16,42,111.55,21.083,20.213,17,2,50
28736,Chibaerwoyi-East (XJULG1709)-2,46.61666666666667,88.5,18.524,18.056,26,2,5
28737,Chibaerwoyi-East (XJULG1709)-3,46.61666666666667,88.5,15.5,11.63,16,2,95
28899,Tangkou fissure,31.089667,118.096167,19.097333333333335,17.131,11,0,45
29040,Palasava,23.438333333333333,70.99027777777778,14.895,13.09,11,0,45
29056,Tibet Zanda ZD0609 II,31.1,82.35,7.1,5.3,5,-,-
29058,Xining_Jiangjiagou,36.686388888888885,102.06416666666667,8.771,8.254,5,0,20
29060,Tibet Yuzhu,35.64722222222222,94.05555555555556,4.187,3.596,16,0,45
29064,Qaidam_naoge,36.86666666666667,97.33333333333333,14.07,11.056,6,0,45
29065,Yangyi,25.111944444444447,99.16166666666668,6.033,5.634,7,0,45
29066,Yuanmou_Xiaohe,25.713832,101.773388,8.9,7.6,21,2,20
29067,Yuanmou_shagou,25.673055555555557,101.91222222222223,5,2.5,5,2,10
29068,Zhaotong,27.33833333333333,103.7175,5.333,3.9565,10,2,95
29070,Siwalik_Hasnot,32.81666666666667,73.3,7.246,5.333,23,0,45
29071,Lanzhou_xingjiawan,36.766666666666666,103.21666666666667,11.056,7.695,6,2,30
29074,Zhaotong_shuitangba,27.328333333333333,103.73694444444445,6.436,6.033,12,2,5
29078,Leijiahe_large mammal I,35.06666666666667,107.72500000000001,4.415333333333334,3.4976666666666665,4,0,45
29079,Xuyu_dougoukuang,32.85,118.41666666666667,17.2,16.4,4,0,45
29082,Hari Devi I,31.531666666666666,76.6375,9.531,7.432,4,0,40
29083,Chiang Muan_II,18.933333333333334,100.23333333333333,12.049,9.786,3,2,15
29086,Khorat_sand pit,15.02638888888889,102.28055555555555,11.63,7.2,13,2,95
29090,Saketi_Upper,31.37,77.44,3.9565,2.58,16,0,50
29091,Kalagarh,28.333333333333332,78.76666666666667,9.531,7.432,6,0,45
29100,Linxia_Duikang,35.42777777777778,103.54666666666667,5.3,2.6,17,2,80
29103,Yuxian_Huabaogou_I,40.1,114.70277777777778,3.55,2.5,6,2,25
29177,Thanbinkan,21.966666666666665,95.36666666666666,14.2,11.2,6,0,45
