LIDNUM,NAME,LAT,LONG,MAX_AGE,MIN_AGE,NOTES,NB_SPCS,LIST_SPCS
26596,Dera Bugti W,29,69,12.85,11.2,,4,Artiodactyla Suidae Listriodon pentapotamiae;Perissodactyla Chalicotheriidae Macrotherium indet.;Perissodactyla Rhinocerotidae Aprotodon fatehjangense;Perissodactyla Rhinocerotidae Brachypotherium perimense
24470,Fangxian,32.1,110.7,12.5,11.2,,5,Artiodactyla Bovidae Turcocerus noverca;Artiodactyla Suidae Listriodon splendens;Perissodactyla Equidae Anchitherium gobiensis;Perissodactyla Rhinocerotidae Tesselodon fangxianensis;Proboscidea Mammutidae Zygolophodon nemonguensis
26500,Hezheng-laogou,36.466666666666704,103.416666666667,14.2,12.85,,11,Artiodactyla Bovidae Turcocerus indet.;Artiodactyla Giraffidae Palaeotragus tungurensis;Artiodactyla Suidae Kubanochoerus gigas;Artiodactyla Suidae Listriodon splendens;Perissodactyla Equidae Anchitherium gobiensis;Perissodactyla Rhinocerotidae Alicornops laogouense;Perissodactyla Rhinocerotidae Hispanotherium matritense;Primates Pliopithecidae Pliopithecus indet.;Proboscidea Gomphotheriidae Gomphotherium indet.;Proboscidea Gomphotheriidae Platybelodon grangeri;Proboscidea Mammutidae Zygolophodon indet.
20625,Jiulongkou,37,114,15.2,12.5,,9,Artiodactyla Bovidae Oioceros jiulongkouensis;Artiodactyla Cervidae Dicrocerus indet.;Artiodactyla Cervidae Stephanocemas indet.;Artiodactyla Palaeomerycidae Palaeomeryx indet.;Perissodactyla Chalicotheriidae Macrotherium indet.;Perissodactyla Rhinocerotidae Chilotherium indet.;Perissodactyla Rhinocerotidae Dicerorhinus indet.;Perissodactyla Rhinocerotidae Lartetotherium cixianensis;Perissodactyla Rhinocerotidae Plesiaceratherium gracile
20968,Junggar-Botamoyin,46,89,15.2,12.5,,8,Artiodactyla Bovidae Eotragus halamagaiensis;Artiodactyla Cervidae Dicrocerus grangeri;Artiodactyla Cervidae Lagomeryx indet.;Artiodactyla Cervidae Stephanocemas thomsoni;Artiodactyla Palaeomerycidae Palaeomeryx indet.;Proboscidea Gomphotheriidae Gomphotherium subtapiroideum;Proboscidea Gomphotheriidae Platybelodon indet.;Proboscidea Mammutidae Miomastodon indet.
26478,Junggar-chibaerwoyi,47,88,15.2,12.5,,5,Artiodactyla Bovidae Eotragus halamagaiensis;Artiodactyla Cervidae Stephanocemas thomsoni;Perissodactyla Equidae Anchitherium gobiensis;Perissodactyla Rhinocerotidae Chilotheridium indet.;Proboscidea Mammutidae Zygolophodon indet.
26477,Junggar-duolebulejin,46.42,87.48,12.5,11.2,,8,Artiodactyla Bovidae Turcocerus kekemaidengensis;Artiodactyla Cervidae Dicrocerus grangeri;Artiodactyla Cervidae Stephanocemas thomsoni;Artiodactyla Suidae Kubanochoerus indet.;Perissodactyla Rhinocerotidae Brachypotherium indet.;Perissodactyla Rhinocerotidae Chilotherium habereri;Proboscidea Elephantidae Mammuthus indet.;Proboscidea Gomphotheriidae Platybelodon indet.
20973,Junggar-Ganqikairixi,46,89,15.2,12.5,,3,Artiodactyla Cervidae Lagomeryx indet.;Artiodactyla Cervidae Stephanocemas thomsoni;Perissodactyla Rhinocerotidae Chilotherium indet.
20975,Junggar-Tieersihabahe,46.6666666666667,88.5066666666667,15.2,12.5,,5,Artiodactyla Bovidae Eotragus halamagaiensis;Artiodactyla Cervidae Stephanocemas thomsoni;Perissodactyla Equidae Anchitherium gobiensis;Primates Pliopithecidae Pliopithecus bii;Proboscidea Gomphotheriidae Gomphotherium indet.
23193,Kaiyuan-Xiaolongtan,23.5833333333333,103.25,12.735,11.592,,9,Artiodactyla Cervidae Euprox indet.;Artiodactyla Suidae Parachleuastochoerus steinheimensis;Artiodactyla Suidae Propotamochoerus hyotheriodes;Perissodactyla Tapiridae Tapirus yunnanensis;Primates Hominidae Dryopithecus keiyuanensis;Primates Hominidae Lufengpithecus keiyuanensis;Proboscidea Gomphotheriidae Gomphotherium macrognathus;Proboscidea Gomphotheriidae Tetralophodon xiaolongtanensis;Proboscidea Mammutidae Zygolophodon chinjiensis
24499,Lantian-gaopo-64004,34,109,12.5,11.2,,3,Artiodactyla Bovidae Kubanotragus gaopoensis;Artiodactyla Cervidae Lagomeryx complicidens;Proboscidea Gomphotheriidae Platybelodon grangeri
20927,Lantian-gaopo-64008,34.1,109.3,12.5,11.2,,4,Artiodactyla Bovidae Hypsodontus gaopense;Artiodactyla Cervidae Lagomeryx complicidens;Proboscidea Gomphotheriidae Gomphotherium subtapiroideum;Proboscidea Gomphotheriidae Platybelodon grangeri
24596,Lanzhou-Quantougou,36.1166666666667,103.6667,12.5,11.2,,3,Artiodactyla Suidae Kubanochoerus gigas;Perissodactyla Rhinocerotidae Rhinoceros indet.;Proboscidea Gomphotheriidae Gomphotherium wimani
20925,Lintong-lengshuigou,34.1,109.3,12.5,11.2,,10,Artiodactyla Bovidae Turcocerus lishanensis;Artiodactyla Bovidae gen. sp.;Artiodactyla Giraffidae Palaeotragus indet.;Artiodactyla Moschidae Micromeryx indet.;Artiodactyla Palaeomerycidae Palaeomeryx indet.;Artiodactyla Suidae Listriodon splendens;Perissodactyla Equidae indet. indet.;Perissodactyla Rhinocerotidae Hispanotherium matritense;Proboscidea Gomphotheriidae Platybelodon indet.;Proboscidea Gomphotheriidae Selenolophodon spectabilis
24511,Liuhe-lingyanshan,32,121,15.2,12.5,,3,Artiodactyla Suidae Propotamochoerus palaeochoerus;Perissodactyla Rhinocerotidae Acerorhinus zernowi;Proboscidea Gomphotheriidae Tetralophodon indet.
24059,Mae Moh,18.2611,99.7042,13.363,13.183,,7,Artiodactyla Cervidae Stephanocemas rucha;Artiodactyla Suidae Conohyus simorrensis;Perissodactyla Rhinocerotidae Gaindatherium indet.;Primates Sivaladapidae Siamoadapis maemohensis;Primates Tarsiidae Tarsius sirindhornae;Proboscidea Gomphotheriidae Gomphotherium browni;Proboscidea Stegodontidae Stegolophodon latidens
